sport_name,game_date,today_date,league_name,setting,team_name,elo,ml,implied_odds,ml_value_idx
mlb,2024-05-28,2024-05-28,,away,Philadelphia Phillies,0.61,-2.2,0.6875,0.8872727272727272
npb,2024-05-29,2024-05-28,,home,Yokohama BayStars,0.49,-1.25,0.5555555555555556,0.8819999999999999
mlb,2024-05-28,2024-05-28,,home,New York Mets,0.39,1.15,0.46511627906976744,0.8385
mlb,2024-05-28,2024-05-28,,away,Arizona Diamondbacks,0.447,-1.25,0.5555555555555556,0.8046
npb,2024-05-29,2024-05-28,,home,Chunichi Dragons,0.474,-1.6,0.6153846153846154,0.7702499999999999
wnba,2024-05-28,2024-05-28,,home,Indiana,0.52,-2.1,0.6774193548387097,0.7676190476190475
mlb,2024-05-28,2024-05-28,,home,Colorado Rockies,0.355,1.15,0.46511627906976744,0.76325
eurobb,2024-05-28,2024-05-28,BUL,away,Rilski Sportist,0.49,-1.8,0.6428571428571429,0.7622222222222221
mlb,2024-05-28,2024-05-28,,away,Miami Marlins,0.361,1.1,0.47619047619047616,0.7581
mlb,2024-05-28,2024-05-28,,away,Oakland Athletics,0.3,1.5,0.4,0.7499999999999999
mlb,2024-05-28,2024-05-28,,away,Kansas City Royals,0.42,-1.3,0.5652173913043479,0.743076923076923
eurobb,2024-05-28,2024-05-28,ISR,away,Hapoel Holon,0.22899999999999998,2.2,0.3125,0.7327999999999999
eurobb,2024-05-28,2024-05-28,FRA-A,away,AS Monaco,0.429,-2.45,0.7101449275362319,0.6041020408163265
eurobb,2024-05-28,2024-05-28,ESP,away,Murcia,0.105,4.75,0.17391304347826086,0.60375
nba,2024-05-28,2024-05-28,,away,Minnesota Timberwolves,0.266,1.0,0.5,0.532
eurobb,2024-05-28,2024-05-28,ISR,away,Ironi Nes Ziona,0.031,7.0,0.125,0.248
wnba,2024-05-28,2024-05-28,,away,Seattle,0.13,-1.4,0.5833333333333334,0.22285714285714284
wnba,2024-05-28,2024-05-28,,away,Phoenix,0.057,2.75,0.26666666666666666,0.21375000000000002
kbo,2024-05-28,2024-05-27,,home,Doosan Bears,0.513,1.8,0.3571428571428571,1.4364
nhl,2024-05-27,2024-05-27,,away,Dallas Stars,0.526,1.7,0.3703703703703703,1.4202
nba,2024-05-27,2024-05-27,,home,Indiana Pacers,0.423,2.35,0.2985074626865671,1.41705
mlb,2024-05-27,2024-05-27,,away,Philadelphia Phillies,0.61,1.05,0.4878048780487805,1.2505
mlb,2024-05-27,2024-05-27,,away,Cleveland Guardians,0.643,-1.3,0.5652173913043479,1.1376153846153845
npb,2024-05-28,2024-05-27,,away,Tohoku Rakuten Golden Eagles,0.507,1.2,0.4545454545454545,1.1154
npb,2024-05-28,2024-05-27,,away,Chiba Lotte Marines,0.544,1.05,0.4878048780487805,1.1152
milb,2024-05-27,2024-05-27,INT,home,Indianapolis Indians,0.456,1.4,0.4166666666666667,1.0944
mlb,2024-05-27,2024-05-27,,away,Los Angeles Dodgers,0.619,-1.35,0.574468085106383,1.0775185185185183
mlb,2024-05-27,2024-05-27,,home,Seattle Mariners,0.513,1.1,0.4761904761904761,1.0773
nhl,2024-05-27,2024-05-27,,home,Edmonton Oilers,0.474,1.25,0.4444444444444444,1.0665
mlb,2024-05-27,2024-05-27,,away,St. Louis Cardinals,0.4679999999999999,1.25,0.4444444444444444,1.053
npb,2024-05-28,2024-05-27,,away,Saitama Seibu Lions,0.526,1.0,0.5,1.052
kbo,2024-05-28,2024-05-27,,away,LG Twins,0.578,-1.25,0.5555555555555556,1.0403999999999998
kbo,2024-05-28,2024-05-27,,home,Samsung Lions,0.5770000000000001,-1.25,0.5555555555555556,1.0386
mlb,2024-05-27,2024-05-27,,home,Atlanta Braves,0.696,-2.05,0.6721311475409836,1.0355121951219513
mlb,2024-05-27,2024-05-27,,home,Baltimore Orioles,0.629,-1.55,0.607843137254902,1.0348064516129032
mlb,2024-05-27,2024-05-27,,away,Kansas City Royals,0.419,1.45,0.4081632653061224,1.02655
npb,2024-05-28,2024-05-27,,away,Orix Buffaloes,0.499,1.05,0.4878048780487805,1.0229499999999998
kbo,2024-05-28,2024-05-27,,home,NC Dinos,0.523,-1.05,0.5121951219512195,1.021095238095238
npb,2024-05-28,2024-05-27,,home,Hanshin Tigers,0.612,-1.55,0.607843137254902,1.0068387096774192
mlb,2024-05-27,2024-05-27,,home,San Diego Padres,0.64,-1.8,0.6428571428571429,0.9955555555555556
npb,2024-05-28,2024-05-27,,away,Fukuoka Softbank Hawks,0.557,-1.3,0.5652173913043479,0.9854615384615384
mlb,2024-05-27,2024-05-27,,away,Toronto Blue Jays,0.653,-2.0,0.6666666666666666,0.9795
kbo,2024-05-28,2024-05-27,,home,Hanwha Eagles,0.487,1.0,0.5,0.974
kbo,2024-05-28,2024-05-27,,away,Lotte Giants,0.513,-1.2,0.5454545454545454,0.9405
npb,2024-05-28,2024-05-27,,home,Yomiuri Giants,0.4429999999999999,1.1,0.4761904761904761,0.9303
mlb,2024-05-27,2024-05-27,,home,Minnesota Twins,0.581,-1.7,0.6296296296296295,0.922764705882353
mlb,2024-05-27,2024-05-27,,home,Chicago White Sox,0.347,1.65,0.3773584905660377,0.91955
npb,2024-05-28,2024-05-27,,home,Hiroshima Toyo Carp,0.501,-1.25,0.5555555555555556,0.9018
mlb,2024-05-27,2024-05-27,,away,Miami Marlins,0.36,1.5,0.4,0.8999999999999999
npb,2024-05-28,2024-05-27,,away,Hokkaido Nippon Ham Fighters,0.3879999999999999,1.3,0.4347826086956522,0.8923999999999999
kbo,2024-05-28,2024-05-27,,away,Kia Tigers,0.477,-1.15,0.5348837209302325,0.8917826086956523
mlb,2024-05-27,2024-05-27,,home,Cincinnati Reds,0.532,-1.5,0.6,0.8866666666666667
npb,2024-05-28,2024-05-27,,home,Chunichi Dragons,0.474,-1.2,0.5454545454545454,0.869
kbo,2024-05-28,2024-05-27,,away,Kiwoom Heroes,0.423,1.05,0.4878048780487805,0.8671499999999999
kbo,2024-05-28,2024-05-27,,home,SSG Landers,0.422,1.05,0.4878048780487805,0.8651
milb,2024-05-27,2024-05-27,INT,away,Omaha Storm Chasers,0.544,-1.7,0.6296296296296295,0.8640000000000002
mlb,2024-05-27,2024-05-27,,away,Houston Astros,0.487,-1.3,0.5652173913043479,0.8616153846153846
mlb,2024-05-27,2024-05-27,,away,Boston Red Sox,0.371,1.3,0.4347826086956522,0.8533
npb,2024-05-28,2024-05-27,,home,Yokohama BayStars,0.493,-1.4,0.5833333333333334,0.8451428571428571
mlb,2024-05-27,2024-05-27,,away,Washington Nationals,0.304,1.7,0.3703703703703703,0.8208
npb,2024-05-28,2024-05-27,,home,Tokyo Yakult Swallows,0.456,-1.25,0.5555555555555556,0.8208
mlb,2024-05-27,2024-05-27,,home,New York Mets,0.381,1.15,0.4651162790697674,0.81915
nba,2024-05-27,2024-05-27,,away,Boston Celtics,0.5770000000000001,-2.91,0.7442455242966752,0.7752817869415808
mlb,2024-05-27,2024-05-27,,home,Colorado Rockies,0.357,1.1,0.4761904761904761,0.7497000000000001
kbo,2024-05-28,2024-05-27,,away,KT Wiz,0.487,-2.2,0.6875,0.7083636363636364
mlb,2024-05-27,2024-05-27,,home,San Francisco Giants,0.39,-1.25,0.5555555555555556,0.702
